Mainboard						
Name	Description	Designator	Quantity	Mouser order code	Farnell order code	TME order code
STM32G441KBT6	Microcontroller, 32-pin	U2	1	511-STM32G441KBT6	3132413	-
10118193-0001LF	Micro USB socket	J1	1	649-10118193-0001LF	2751675	10118193-0001LF/C  
CM1223-02SO	TVS diodes 2-channel	U1	1	748-CM1223-02SO	3607672	CM1223-02SO
BUK6Y10-30PX	PFET SOT669	Q1	1	771-BUK6Y10-30PX	3438512	BUK6Y10-30PX
SI8640AB-B-IS	4-channel isolator	U3,U4	2	634-SI8640AB-B-IS	2423278	SI8640AB-B-IS
FTSH-105-01-L-DV-K	Programmer connector	J2	1	200-FTSH10501LDVK	3550960	-
NCV8730ASN500T1G	LDO 5V 150mA	U5	1	863-NCV8730ASN500T1G	3463974	-
NCP164CSN330T1G	LDO 3.3V 300mA	U6	1	863-NCP164CSN330T1G	3367831	NCP164CSN330T1G
Micro-MaTch 215079-4	4-pin connector	J3-J6	4	571-215079-4	1772996	AMP-7-215079-4
Capacitor 100 nF	package 0603	C2-C9	8	581-06035C104K4Z2A	1740614	06033C104JAT2A
Capacitor 1 uF	package 0603	C10-C13	4	581-06035C105KAT2A	1658870	0603YC105KAT2A
Capacitor 4.7 uF	package 0603	C1	1	963-PMK063EBJ475MP-F	3217600	-
Resistor 300 Ohm	package 0603	R1-R5	5	71-CRCW0201300RFNED	2761648	0603SAF3000T5E
LED	white 0603	D1-D5	5	593-LSM0603443V	3995425	OSW50603C1E
						
						
Motor Driver						
Name	Description	Designator	Quantity	Mouser order code	Farnell order code	TME order code
PDRV8243HRXYQ1	Motor driver	U7,U8,U9	3	595-DRV8243SQRXYRQ1	-	-
Capacitor 10 uF	package 0805	C14-C17, C20-C23, C26-C29	12	581-0805YC106KAT2A	2346927	C2012X5R1E106KAB
Capacitor 100 nF	package 0603	C18,C19,C24,C25,C30,C31	6	581-06035C104K4Z2A	1740614	06033C104JAT2A
Resistor 47K Ohm	package 0603	R8,R14,R20	3	279-CRGCQ0603J47K	2421877	RC0603FR-0747K
Resistor 2K2 Ohm	package 0603	R11,R17,R23	3	279-CRGH0603J2K2	9233423	RC0603JR-072K2
Resistor 0 Ohm	package 0603	R7,R9,R10,R13,R15,R16,R19,R21,R22	9	652-CR0603-J/-000ELF	9233130	RC0603JR-070R
LED	white 0603	D6,D7,D8	3	593-LSM0603443V	3995425	OSW50603C1E
Resistor 300 Ohm	package 0603	R6,R12,R18	3	71-CRCW0201300RFNED	2761648	0603SAF3000T5E